Brand_Name,Shoe Descripition,Discounted Price,Actual_price
NEEMANS,,2599,3499
JQR,Men Lightweight Sneakers,866,1699
HRX by Hrithik Roshan,Unisex Back To School Shoes,999,3699
ASIAN,Men Colourblocked Sneakers,824,1499
U.S. Polo Assn.,Men Classic Sneakers,1599,3199
Red Tape,Men Colourblocked Sneakers,2009,6699
HRX by Hrithik Roshan,Men Textured Mesh Sneakers,999,3999
ZAYDN,Men Perforations Sneakers,1405,2999
Hygear,Colourblocked Sneakers,1249,2999
U.S. Polo Assn.,Men Round Toe Sneakers,2013,3799
HRX by Hrithik Roshan,Unisex Back To School Shoes,999,3699
NEEMANS,Men Lightweight Loafers,1319,3299
ZAYDN,Men Round Toe Sneakers,1405,2999
Roadster,Men Lightweight Sneakers,627,2992
SCARPIA,Men Casual Loafers,618,1299
BOLDFIT,Men Colourblocked Shoes,1799,4999
JQR,Men Lightweight Sneakers,1049,1699
HRX by Hrithik Roshan,Solid Unisex Sneakers,1087,3399
Campus,Men Colourblocked PU Sneakers,1424,2699
Campus,Men PU Sneakers,1364,2199
Red Tape,Men Textured Sneakers,2099,6999
NEEMANS,Begin Walk Drift Sneakers,2599,3499
WHITE WALKERS,Textured Lace-Ups Sneakers,693,1199
ASIAN,Men Colourblocked Sneakers,659,1499
U.S. Polo Assn.,Men Classic Sneakers,1599,3199
JQR,Men Lightweight Sneakers,866,1699
Red Tape,Men Textured Sneakers,1979,6599
NEEMANS,Men Slip-On Sneakers,1049,3499
Flying Machine,Men Colourblocked Sneakers,1759,3199
GULASS WICK,Men Casual Shoes,659,1999
NEEMANS,Lightweight Slip-On Sneakers,1049,2999
HRX by Hrithik Roshan,Round Toe Lace-Ups Sneakers,999,3399
HRX by Hrithik Roshan,Men Perforations Sneakers,961,3699
ASIAN,Men BOSTON Lace-Up Sneakers,679,1499
Roadster,Men Basics Sneakers,636,4245
Red Tape,Men Colourblocked Sneakers,2039,6799
NEEMANS,Men Penny Driving Shoes,1399,3499
WHITE WALKERS,Round Toe Lace-Ups Sneakers,693,1199
Roadster,Men Casual Sneakers,974,2870
LOUIS STITCH,Men Italian Suede Loafers,1699,2999
ASIAN,Men Round Toe Sneakers,749,1499
NEEMANS,Men Sneakers,999,2099
Aristitch,Men Woven Design Mojaris,1149,1249
HRX by Hrithik Roshan,Unisex Sneakers,1087,3399
NEEMANS,Men Ease Slip On Sneakers,1649,2699
Killer,Men Solid Sneakers,749,4999
ASIAN,Men Round Toe Sneakers,824,1499
Puma,Men Colourblocked IDP Sneakers,1574,4499
BOLDFIT,Men Sneakers Shoes,1299,2799
U.S. Polo Assn.,,1869,3399
HRX by Hrithik Roshan,Unisex Lace-Up Sneakers,999,3399
HRX by Hrithik Roshan,Men Comfort Insole Sneakers,961,3699
Roadster,Men Slip-On Moccasins Loafers,998,4195
Campus,Men Colourblocked Sneakers,1780,2299
ASIAN,Men Round Toe Sneakers,749,1499
JQR,Men Sneakers,824,1499
NEEMANS,Unisex Slip-On Sneakers,1289,4299
Ducati,Men Mid-Top Sneakers,1434,4099
Aristitch,Men Embroidered Mojaris,1249,2199
Roadster,Men Lightweight Casual Loafers,776,3699
WHITE WALKERS,Men Round Toe Sneakers,693,1199
Campus,Men Colourblocked PU Sneakers,1602,2699
Puma,Men Colourblocked Sneakers,1664,4499
NEEMANS,Unisex Textured Sneakers,1199,3999
NEEMANS,Round Toe Slip-On Sneakers,1199,3499
HRX by Hrithik Roshan,Unisex Sneakers,1087,3399
FCUK,Men Woven Design Sneakers,1159,3999
Vellinto,Men Printed Ethnic Mojaris,839,1999
Ducati,Men Everyday Sneakers,1053,3399
NEEMANS,Men Mono Court Sneaker,999,2099
KASTAVA,Men Loafers,769,1999
JQR,Men Lightweight Sneakers,866,1699
Puma,Men Colourblocked Sneakers,1574,4499
Provogue,Men Mojaris,719,3499
HRX by Hrithik Roshan,Solid Round Toe Sneakers,1087,3399
HITWAY,Men Grey Casual Shoes,1628,2999
ASIAN,Men Perforations Sneakers,749,1499
ASIAN,Men Colourblocked Sneakers,749,1499
ASIAN,Men Round Toe Sneakers,679,1499
KASTAVA,Men Loafers,769,1999
